,Website Support Fields,,,,,,,,,,,
ID,RequestType,FAQ reference?,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10
1,Address Update,,Name,CPT ID,Previous Address,New Address ,Upload Supporting Docs,,Phone,,,
2,Name Change,,Name,CPT ID,Previous Name,New Name,Upload Supporting Docs,,Phone,,,
3,Notice Packet Request,,Name,CPT ID,Email Address,Mailing Address,,,Phone,,,
4,Passcode Request,How to find on notice,Name,CPT ID,Email Address,,,,Phone,,,
5,Requests to Be Added,,Name,CPT ID,Reason,Address,Upload Supporting Docs,,Phone,,,
6,Check Reissue Request,,Name,CPT ID,Reason,Previous Address,New Address ,Email Address,Phone,,,
7,Dispute Work Weeks/Shifts,,Name,CPT ID,Reason,Address,Upload Supporting Docs,,Phone,,,
8,Deceased Class Member,,Name,CPT ID,Beneficiary Name,Beneficiary Address,Beneficary Email,Upload Supporting Docs,Phone,,,
9,Defiency Response,,Name,CPT ID,Detailed Response,Upload Supporting Docs,,,Phone,,,
10,Tax Form Request,,Name,CPT ID,Email Address,Mailing Address,,,Phone,,,
11,Copy of Cashed Check,,Name,CPT ID,Email Address,Mailing Address,,,Phone,,,
12,Request Fraud Affidavit,,Name,CPT ID,Email Address,Mailing Address,,,Phone,,,
13,SSN Response,,Name,CPT ID,Email Address,Mailing Address,SSN/ Tax ID,,Phone,,,
14,What is my settlement amount,How to find on notice, ,,,,,,Phone,,,
15,When will I receive my check,How to find on notice,,,,,,,Phone,,,
16,Did you receive my claim form/response,,,,,,,,Phone,,,
17,Have you receied my supporting documents,,,,,,,,Phone,,,
